raw_id,title_raw,title_norm,words_raw,decisions_raw,decisions_norm_json,num_aspects,label_signature,parse_issue,num_invalid_labels
1,SpiceJet to issue 6.4 crore warrants to promoters,SpiceJet to issue 6.4 crore warrants to promoters,8,"{""SpiceJet"": ""neutral""}","{""SpiceJet"": ""neutral""}",1,neutral,ok,0
2,MMTC Q2 net loss at Rs 10.4 crore,MMTC Q2 net loss at Rs 10.4 crore,8,"{""MMTC"": ""neutral""}","{""MMTC"": ""neutral""}",1,neutral,ok,0
3,"Mid-cap funds can deliver more, stay put: Experts","Mid-cap funds can deliver more, stay put: Experts",8,"{""Mid-cap funds"": ""positive""}","{""Mid-cap funds"": ""positive""}",1,positive,ok,0
4,Mid caps now turn into market darlings,Mid caps now turn into market darlings,7,"{""Mid caps"": ""positive""}","{""Mid caps"": ""positive""}",1,positive,ok,0
5,"Market seeing patience, if not conviction: Prakash Diwan","Market seeing patience, if not conviction: Prakash Diwan",8,"{""Market"": ""neutral""}","{""Market"": ""neutral""}",1,neutral,ok,0
6,Infosys: Will the strong volume growth sustain?,Infosys: Will the strong volume growth sustain?,7,"{""Infosys"": ""neutral""}","{""Infosys"": ""neutral""}",1,neutral,ok,0
7,Hudco raises Rs 279 cr via tax-free bonds,Hudco raises Rs 279 cr via tax-free bonds,8,"{""Hudco"": ""positive""}","{""Hudco"": ""positive""}",1,positive,ok,0
8,HOEC could retest 30-35 levels: Ashwani Gujral,HOEC could retest 30-35 levels: Ashwani Gujral,7,"{""HOEC"": ""neutral""}","{""HOEC"": ""neutral""}",1,neutral,ok,0
9,Gold shines on seasonal demand; Silver dull,Gold shines on seasonal demand; Silver dull,7,"{""Gold"": ""positive"", ""Silver"": ""negative""}","{""Gold"": ""positive"", ""Silver"": ""negative""}",2,negative+positive,ok,0
10,Genpact appoints Edward J Fitzpatrick as CFO,Genpact appoints Edward J Fitzpatrick as CFO,7,"{""Genpact"": ""neutral""}","{""Genpact"": ""neutral""}",1,neutral,ok,0
11,"EXL beats profit estimates, cuts sales outlook","EXL beats profit estimates, cuts sales outlook",7,"{""EXL"": ""positive""}","{""EXL"": ""positive""}",1,positive,ok,0
12,Wait and watch on Bharti Airtel: Vinay Khattar,Wait and watch on Bharti Airtel: Vinay Khattar,8,"{""Bharti Airtel"": ""neutral""}","{""Bharti Airtel"": ""neutral""}",1,neutral,ok,0
13,"Would stick to banking: Girish Pai, Centrum Broking","Would stick to banking: Girish Pai, Centrum Broking",8,"{""banking"": ""positive"", ""Centrum Broking"": ""neutral""}","{""Centrum Broking"": ""neutral"", ""banking"": ""positive""}",2,neutral+positive,ok,0
14,MSCI adds Aurobindo Pharma to India index,MSCI adds Aurobindo Pharma to India index,7,"{""Aurobindo Pharma"": ""positive"", ""MSCI"": ""neutral"", ""India index"": ""neutral""}","{""Aurobindo Pharma"": ""positive"", ""India index"": ""neutral"", ""MSCI"": ""neutral""}",3,neutral+positive,ok,0
15,Ashok Leyland raises Rs 667 crore through QIP,Ashok Leyland raises Rs 667 crore through QIP,8,"{""Ashok Leyland"": ""positive""}","{""Ashok Leyland"": ""positive""}",1,positive,ok,0
16,"At Wipro, growth remains a mirage","At Wipro, growth remains a mirage",6,"{""Wipro"": ""negative""}","{""Wipro"": ""negative""}",1,negative,ok,0
17,Why Chinese stocks leave US investors vulnerable,Why Chinese stocks leave US investors vulnerable,7,"{""US"": ""negative"", ""Chinese stocks"": ""neutral""}","{""Chinese stocks"": ""neutral"", ""US"": ""negative""}",2,negative+neutral,ok,0
18,US stocks finish mixed amid more tech selling,US stocks finish mixed amid more tech selling,8,"{""tech"": ""negative"", ""US stocks"": ""neutral""}","{""US stocks"": ""neutral"", ""tech"": ""negative""}",2,negative+neutral,ok,0
19,Opec reduces estimate on oil demand growth,Opec reduces estimate on oil demand growth,7,"{""oil"": ""negative"", ""Opec"": ""neutral""}","{""Opec"": ""neutral"", ""oil"": ""negative""}",2,negative+neutral,ok,0
20,Oil prices mixed ahead of US supply report,Oil prices mixed ahead of US supply report,8,"{""Oil"": ""neutral""}","{""Oil"": ""neutral""}",1,neutral,ok,0
