raw_id,title_norm,aspect_term_raw,aspect_term_norm,sentiment,match_status,match_type,num_candidates,char_from,char_to,review_reason
50,"Amidst commodity boom, vanilla remains plain vanilla",vanilla,vanilla,neutral,review,whole_word_ambiguous,2,,,ambiguous_match
109,Sebis reading of control issue confounds experts,Sebi,Sebi,neutral,review,substring_unique,1,0.0,4.0,weak_match_substring
188,Long-term investors may go for PMC Infratechs IPO,PMC Infratech,PMC Infratech,neutral,review,substring_unique,1,31.0,44.0,weak_match_substring
221,"Nifty50 to find support at 7,950-7,930: Mitesh Thacker",Nifty,Nifty,neutral,review,substring_unique,1,0.0,5.0,weak_match_substring
351,BoR awaits legal view for ICICI-BoR merger,BoR,BoR,neutral,review,whole_word_ambiguous,2,,,ambiguous_match
357,Two senior executives quit HULs modern trade division,HUL,HUL,neutral,review,substring_unique,1,27.0,30.0,weak_match_substring
380,FTILs warrants sale hangs in balance,FTIL,FTIL,neutral,review,substring_unique,1,0.0,4.0,weak_match_substring
622,Max Indias Vibha Paul Rishi decides to move on,Max India,Max India,neutral,review,substring_unique,1,0.0,9.0,weak_match_substring
793,Alibaba's record IPO covered entire deal in 2 days: Sources,Alibab,Alibab,neutral,review,substring_unique,1,0.0,6.0,weak_match_substring
865,Half-a-dozen hopefuls line up for UTI Mutual Funds top post,UTI Mutual Fund,UTI Mutual Fund,neutral,review,substring_unique,1,34.0,49.0,weak_match_substring
968,Sateesh Andra takes over as Ventureast Tenet Funds Managing Partner,Ventureast Tenet Fund,Ventureast Tenet Fund,neutral,review,substring_unique,1,28.0,49.0,weak_match_substring
1099,ICICI Banks K Ramkumar moves from HR to head CSR division,ICICI Bank,ICICI Bank,neutral,review,substring_unique,1,0.0,10.0,weak_match_substring
1140,"NBFCs look good from macro perspective, but stay selective: Amit Khurana",NBFC,NBFC,neutral,review,substring_unique,1,0.0,4.0,weak_match_substring
1191,Three reasons why India Incs credit scores are on the mend,India Inc,India Inc,neutral,review,substring_unique,1,18.0,27.0,weak_match_substring
